+-------+----------------------------------------------------------------------------------+
| Topic | Words                                                                            |
+-------+----------------------------------------------------------------------------------+
|       | egg whites, baking powder, baking sheet, flour baking, preheat 350, beat egg,    |
|   0   | flour baking powder, baking soda, egg yolks, flour mixture, electric mixer,      |
|       | comes clean, sift flour, cup sugar, inserted center                              |
|       |                                                                                  |
|       | 100 percent, percent power, 100 percent power, remove uncover, release steam,    |
|   1   | prick plastic, plastic release, plastic release steam, microwave plastic,        |
|       | microwave plastic wrap, prick plastic release, release steam remove, steam       |
|       | remove, steam remove uncover, tightly microwave                                  |
|       |                                                                                  |
|       | doesn burn, run underneath, eggs run underneath, eggs run, lifting edges, shake  |
|   2   | gently, hand lifting edges, hand lifting, make sure, shake gently tilting,       |
|       | slightly hand lifting, slightly hand, tilting slightly hand, gently tilting,     |
|       | tilting slightly                                                                 |
|       |                                                                                  |
|       | lemon juice, food processor, season taste, taste adjust, bay leaf, baking dish,  |
|   3   | room temperature, adjust seasoning, 30 seconds, paper towels, taste adjust       |
|       | seasoning, bread crumbs, onion garlic, tablespoons butter, lightly browned       |
|       |                                                                                  |
|       | ice strain, ice strain chilled, chilled coupe, strain chilled, strain chilled    |
|   4   | coupe, coupe glass, chilled coupe glass, shake ice, shake ice strain, liquid     |
|       | ice, liquid ice strain, glass garnish, coupe glass garnish, shake liquid ice,    |
|       | shake liquid                                                                     |
|       |                                                                                  |
|       | blender blend, blend speed, blender blend speed, blender blend smooth, blend     |
|   5   | speed minute, blend smooth, speed minute, blend speed smooth, speed smooth,      |
|       | smooth right, smooth right away, right away, jar blender blend, speed smooth     |
|       | right, minute smooth                                                             |
|       |                                                                                  |
|       | wings cooked, gas grill, charcoal gas, charcoal gas grill, hot rack, hot rack    |
|   6   | inches, rack inches, moderately hot rack, moderately hot, grill moderately, gas  |
|       | grill moderately, grill moderately hot, grill cooler indirect, cooler indirect,  |
|       | cooler indirect cooking                                                          |
|       |                                                                                  |
|       | cocktail glass, ice shake, cocktail shaker, shaker ice, shake strain, chilled    |
|   7   | cocktail, chilled cocktail glass, strain chilled, strain chilled cocktail,       |
|       | shaker ice shake, cocktail shaker ice, glass garnish, glass ice, ice shake       |
|       | strain, shake vigorously                                                         |
|       |                                                                                  |
+-------+----------------------------------------------------------------------------------+
